Distancia(m)	Amplitude
9.5495	0.3349
9.5796	0.3337
9.6096	0.3325
9.6396	0.3313
9.6697	0.3301
9.6997	0.3289
9.7297	0.3278
9.7598	0.3266
9.7898	0.3254
9.8198	0.3243
9.8498	0.3231
9.8799	0.3220
9.9099	0.3208
9.9399	0.3197
9.9700	0.3185
10.0000	0.3174
10.0300	0.3163
10.0601	0.3151
10.0901	0.3140
10.1201	0.3129
10.1502	0.3118
10.1802	0.3106
10.2102	0.3095
10.2402	0.3084
10.2703	0.3073
10.3003	0.3062
10.3303	0.3051
10.3604	0.3040
10.3904	0.3030
10.4204	0.3019
10.4505	0.3008
10.4805	0.2997
10.5105	0.2987
10.5405	0.2976
10.5706	0.2965
10.6006	0.2955
10.6306	0.2944
10.6607	0.2934
10.6907	0.2923
10.7207	0.2913
10.7508	0.2902
10.7808	0.2892
10.8108	0.2882
10.8408	0.2871
10.8709	0.2861
10.9009	0.2851
10.9309	0.2841
10.9610	0.2830
10.9910	0.2820
11.0210	0.2810
11.0511	0.2800
11.0811	0.2790
11.1111	0.2780
11.1411	0.2770
11.1712	0.2760
11.2012	0.2751
11.2312	0.2741
11.2613	0.2731
11.2913	0.2721
11.3213	0.2711
11.3514	0.2702
11.3814	0.2692
11.4114	0.2683
11.4414	0.2673
11.4715	0.2663
11.5015	0.2654
11.5315	0.2644
11.5616	0.2635
11.5916	0.2626
11.6216	0.2616
11.6517	0.2607
11.6817	0.2597
11.7117	0.2588
11.7417	0.2579
11.7718	0.2570
11.8018	0.2561
11.8318	0.2551
11.8619	0.2542
11.8919	0.2533
11.9219	0.2524
11.9520	0.2515
11.9820	0.2506
12.0120	0.2497
12.0420	0.2488
12.0721	0.2479
12.1021	0.2471
12.1321	0.2462
12.1622	0.2453
12.1922	0.2444
12.2222	0.2435
12.2523	0.2427
12.2823	0.2418
12.3123	0.2409
12.3423	0.2401
12.3724	0.2392
12.4024	0.2384
12.4324	0.2375
12.4625	0.2367
12.4925	0.2358
12.5225	0.2350
12.5526	0.2341
12.5826	0.2333
12.6126	0.2325
12.6426	0.2316
12.6727	0.2308
12.7027	0.2300
12.7327	0.2292
12.7628	0.2284
12.7928	0.2275
12.8228	0.2267
12.8529	0.2259
12.8829	0.2251
12.9129	0.2243
12.9429	0.2235
12.9730	0.2227
13.0030	0.2219
13.0330	0.2211
13.0631	0.2203
13.0931	0.2195
13.1231	0.2188
13.1532	0.2180
13.1832	0.2172
13.2132	0.2164
13.2432	0.2156
